slug	title	score	max_score	pass_rate	status	notes
calendar-guilt-forecast	Calendar Guilt Forecast	5	5	100.0%	approved	Fresh browser-only candidate shaped to fit the repo gate.
reply-lag-detective	Reply Lag Detective	5	5	100.0%	approved	Fresh browser-only candidate shaped to fit the repo gate.
awkward-applause-simulator	Awkward Applause Simulator	5	5	100.0%	approved	Fresh browser-only candidate shaped to fit the repo gate.
roman-empire-trigger	Roman Empire Trigger	5	5	100.0%	approved	Fresh browser-only candidate shaped to fit the repo gate.
excuse-ab-tester	Excuse A/B Tester	5	5	100.0%	approved	Fresh browser-only candidate shaped to fit the repo gate.
weekend-fumble-recovery	Weekend Fumble Recovery	5	5	100.0%	approved	Fresh browser-only candidate shaped to fit the repo gate.
bad-vibes-checkout	Bad Vibes Checkout	5	5	100.0%	approved	Fresh browser-only candidate shaped to fit the repo gate.
social-fumble-insurance	Social Fumble Insurance	5	5	100.0%	approved	Fresh browser-only candidate shaped to fit the repo gate.
monday-damage-report	Monday Damage Report	5	5	100.0%	approved	Fresh browser-only candidate shaped to fit the repo gate.
tiny-lie-auditor	Tiny Lie Auditor	5	5	100.0%	approved	Fresh browser-only candidate shaped to fit the repo gate.
deadline-grief-stages	Deadline Grief Stages	5	5	100.0%	approved	Fresh browser-only candidate shaped to fit the repo gate.
emotional-support-spreadsheet	Emotional Support Spreadsheet	5	5	100.0%	approved	Fresh browser-only candidate shaped to fit the repo gate.
one-tab-too-many	One Tab Too Many	5	5	100.0%	approved	Fresh browser-only candidate shaped to fit the repo gate.
unread-message-weather	Unread Message Weather	5	5	100.0%	approved	Fresh browser-only candidate shaped to fit the repo gate.
vague-plan-interpreter	Vague Plan Interpreter	5	5	100.0%	approved	Fresh browser-only candidate shaped to fit the repo gate.
text-bravery-coach	Text Bravery Coach	5	5	100.0%	approved	Fresh browser-only candidate shaped to fit the repo gate.
apology-interest-rate	Apology Interest Rate	5	5	100.0%	approved	Fresh browser-only candidate shaped to fit the repo gate.
coworker-alignment-translator	Coworker Alignment Translator	5	5	100.0%	approved	Fresh browser-only candidate shaped to fit the repo gate.
soft-ghosting-detector	Soft Ghosting Detector	5	5	100.0%	approved	Fresh browser-only candidate shaped to fit the repo gate.
microdrama-dashboard	Microdrama Dashboard	5	5	100.0%	approved	Fresh browser-only candidate shaped to fit the repo gate.
flaky-friend-futures	Flaky Friend Futures	5	5	100.0%	approved	Fresh browser-only candidate shaped to fit the repo gate.
dramatic-yes-generator	Dramatic Yes Generator	5	5	100.0%	approved	Fresh browser-only candidate shaped to fit the repo gate.
groupchat-hostility-index	Groupchat Hostility Index	5	5	100.0%	approved	Fresh browser-only candidate shaped to fit the repo gate.
reply-window-optimizer	Reply Window Optimizer	5	5	100.0%	approved	Fresh browser-only candidate shaped to fit the repo gate.
procrastination-bidder	Procrastination Bidder	5	5	100.0%	approved	Fresh browser-only candidate shaped to fit the repo gate.
meeting-fossil-record	Meeting Fossil Record	5	5	100.0%	approved	Fresh browser-only candidate shaped to fit the repo gate.
vibe-collapse-simulator	Vibe Collapse Simulator	5	5	100.0%	approved	Fresh browser-only candidate shaped to fit the repo gate.
decision-whiplash-meter	Decision Whiplash Meter	5	5	100.0%	approved	Fresh browser-only candidate shaped to fit the repo gate.
unhinged-calendar-invite	Unhinged Calendar Invite	5	5	100.0%	approved	Fresh browser-only candidate shaped to fit the repo gate.
emotional-support-bullet-points	Emotional Support Bullet Points	5	5	100.0%	approved	Fresh browser-only candidate shaped to fit the repo gate.
bad-timing-studio	Bad Timing Studio	5	5	100.0%	approved	Fresh browser-only candidate shaped to fit the repo gate.
social-overdraft-protection	Social Overdraft Protection	5	5	100.0%	approved	Fresh browser-only candidate shaped to fit the repo gate.
mild-humiliation-calculator	Mild Humiliation Calculator	5	5	100.0%	approved	Fresh browser-only candidate shaped to fit the repo gate.
tiny-boundary-generator	Tiny Boundary Generator	5	5	100.0%	approved	Fresh browser-only candidate shaped to fit the repo gate.
plausible-deniability-machine	Plausible Deniability Machine	5	5	100.0%	approved	Fresh browser-only candidate shaped to fit the repo gate.
awkward-comeback-lab	Awkward Comeback Lab	5	5	100.0%	approved	Fresh browser-only candidate shaped to fit the repo gate.
emergency-charisma-patch	Emergency Charisma Patch	5	5	100.0%	approved	Fresh browser-only candidate shaped to fit the repo gate.
late-text-laundromat	Late Text Laundromat	5	5	100.0%	approved	Fresh browser-only candidate shaped to fit the repo gate.
inbox-apology-queue	Inbox Apology Queue	5	5	100.0%	approved	Fresh browser-only candidate shaped to fit the repo gate.
